#{"t_start": 1659990726.5303855, "env_id": null}
r,l,t
-12651.5,15313,5.172158
-11498.8,14775,9.224065
-12347.2,15234,13.434008
-46974.8,49801,110.48788
-19707.2,20194,153.13343
-4488.8,6580,166.549433
-4258.6,4700,175.438424
-1522.2,4064,184.681494
-2632.6,3989,193.101379
-2738.5,3600,199.913905
-8501.5,3903,209.242994
-1116.2,2983,215.357363
-1967.2,3864,222.653997
-556.6,2648,229.394506
-2201.5,2838,235.242816
-1438.2,2525,240.30495
-1552.5,2519,244.869972
-448.2,2375,250.71528
-1483.8,2360,256.1615
-1754.5,2931,261.926791
-1279.5,2246,266.310773
-2268.2,2320,271.12385
-2797.8,2159,276.57107
-4309.5,3011,282.707444
-4516.2,2633,287.769578
-7761.8,2803,293.00275
-3916.8,2333,299.412185
-16524.2,3331,306.008662
-2270.5,2847,311.352859
-6306.8,2398,316.239953
-2160.2,2122,321.791196
-3996.8,2563,326.999362
-61837.5,15854,344.620308
-17676.5,16723,359.303596
-54677.5,26334,381.571582
-145369.5,20231,400.567836
-69862.5,18539,416.856484
-24308.5,22035,434.485431
